Type,SMC PN,Desc,QTY,Total Capacity(GB),Power(W),Total Power(W)
,,,,,,
Barebone,AS -4126GS-NBR-LCC,"4U H14 LCC HGX B200 8x GPU, H14DSG-OD, CSE-GP403TS",1,,,824
EWCSC,EWCSC,"0% 3 YRS LABOR, 3 YRS PARTS, 1 YR CRS UNDER LIMITED WRNTY",1,,N/A,N/A
GPU Board,GPU-NVHGX-B200-8180-LC,"GPU Baseboard Liquid Cooled, HGX B200 8-GPU 180GB",1,,9335,9335
CPU,PSE-TUR9575F-1554,"Turin 9575F DP/UP 64C/128T 3.3G 256MB 400W SP5 HF,RoHS---PSE-TUR9575F-1554",2,,400,800
MEMORY,MEM-DR512L-CL01-ER64,128GB DDR5 RDIMM 6400 ECC REG---MEM-DR512L-CL01-ER64,24,3072,14.2,340.8
Drive,HDS-MUN-MTFDKCC3T8TGP-15,"7500 PRO 3.8TB NVMe PCIe 4.0 3D TLC U.2 15mm,1DWPD TCG OPAL 2.0",2,7680,15.5,31
Drive,HDS-SMN0-MZ1L2960HCJRA7,Samsung PM9A3 960GB NVMe PCIe Gen4 V6 M.2 22x110M (1DWPD) SED,1,960,8.2,8.2
AOC NETWORK,AOC-CX766003N-SQ0,900-9X766-003N-SQ0 1xNDR400G IB/EN OSFP Gen5x16 NoCrypto CX7---AOC-CX766003N-SQ0,8,,30.76,246.08
AOC NETWORK,GPU-NVDPU-BA3220-C,[DPU] BlueField-3 BF3220 DPU 200GbE dual port Crypto Enable---GPU-NVDPU-BA3220-C,1,,107,107
AOC Required Service,SVC-NVSTDSWSUP-3Y,"1-NVIDIA ENT Business Standard Support Services for ADPTR-BF-SW,3 Years (software support only)",1,,N/A,N/A
Accessory,CBL-PWEX-1174-60,"MicroHi 2x4F/P3.0 to PCIe 2x4/P4.2,60cm,8.5A/p,RoHS",1,,N/A,N/A
Assembly,MC0037,Assembly,1,,N/A,N/A
Onsite Service,OSNBD3,OSNBD3,1,,N/A,N/A
